1,Single_barline,Gclef,32_7,32_7,Sharp,32_6,32_7,32_7,32_6,32_7,32_7,Single_barline,8_7,dot,16_4,16_7,Sharp,16_6,Single_barline,8_7,dot,16_4,16_7,Sharp,16_6,Single_barline,16_7,Sharp,16_6,16_7,16_6,16_7,16_6,Single_barline,16_7,Sharp,16_6,16_7,16_4,Natural,16_6,16_5,Single_barline,8_3,Rests16,16_-2,16_0,16_3,Single_barline
2,Single_barline,Fclef,Sharp,Rests8,Rests8,Single_barline,Rests1,Single_barline,Rests1,Single_barline,Rests1,Single_barline,Rests1,Single_barline,16_1,16_5,16_8,Rests16,Rests8,Single_barline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Single_barline,Gclef,8_4,Rests16,16_0,Sharp,16_2,16_4,Single_barline,8_5,Rests16,16_0,16_7,Sharp,16_6,Single_barline,16_7,Sharp,16_6,16_7,16_4,Natural,16_6,16_5,Single_barline,8_3,Rests16,16_-2,16_0,16_3,Single_barline,8_4,Rests16,16_-1,16_5,16_4,Single_barline,8_3,Rests16,16_4,16_5,16_6,Single_barline,,,,,,
4,Single_barline,Fclef,16_-2,16_5,Sharp,16_7,Rests16,Rests8,Single_barline,16_1,16_5,16_8,Rests16,Rests8,Single_barline,Rests1,Single_barline,16_1,16_5,16_8,Rests16,Rests8,Single_barline,16_-2,16_5,Sharp,16_7,Rests16,Rests8,Single_barline,16_1,16_5,16_8,Rests16,Rests8,Single_barline,,,,,,,,,,,,,
5,Single_barline,Gclef,8_7,dot,16_2,16_8,16_7,Single_barline,8_6,dot,16_1,16_7,16_6,Single_barline,8_5,dot,16_0,16_6,16_5,Single_barline,8_4,Rests16,16_0,16_7,Rests16,Single_barline,Rests16,16_7,16_14,Rests16,Rests16,Sharp,16_6,Single_barline,8_7,Rests16,Sharp,16_6,16_7,16_6,Single_barline,,,,,,,,
6,Single_barline,Fclef,16_7,16_10,Rests8,Single_barline,Rests8,Single_barline,16_8,Rests8,Single_barline,16_12,Gclef,Single_barline,Sharp,16_6,16_7,Single_barline,Sharp,16_6,16_7,Rests8,Fclef,Single_barline,16_3,Rests16,16_0,16_7,16_9,Rests16,16_1,16_5,Rests16,16_-2,16_5,Rests16,Rests16,16_0,16_7,Rests16,Rests16,Rests16,Rests16,Rests16,,,,,
9,Single_barline,Gclef,16_7,Sharp,16_6,16_7,16_4,Natural,16_6,16_5,Single_barline,8_3,Rests16,16_-2,16_0,16_3,Single_barline,8_4,Rests16,16_0,Sharp,16_2,16_4,Single_barline,8_5,Rests16,16_0,16_7,Sharp,16_6,Single_barline,16_7,Sharp,16_6,16_7,16_4,Natural,16_6,16_5,Single_barline,8_3,Rests16,16_-2,16_0,16_3,Single_barline,,,
10,Single_barline,Fclef,Rests1,Single_barline,16_1,16_5,16_8,Rests16,Rests8,Single_barline,16_-2,16_5,Sharp,16_7,Rests16,Rests8,Single_barline,16_1,16_5,16_8,Rests16,Rests8,Single_barline,Rests1,Single_barline,16_1,16_5,16_8,Rests16,Rests8,Single_barline,,,,,,,,,,,,,,,,,,
11,Single_barline,Gclef,8_4,Rests16,16_-1,16_5,16_4,Single_barline,8_3,Rests8,Rests8,Single_barline,Flat,Sharp,dot,dot,dot,Single_barline,Sharp,Single_barline,Sharp,Single_barline,Natural,dot,dot,dot,Single_barline,,,,,,,,,,,,,,,,,,,,,,
12,Single_barline,Fclef,16_-2,16_5,Sharp,16_7,Rests16,Rests8,Single_barline,16_1,16_1,16_1,16_1,16_1,16_1,Single_barline,16_1,16_1,16_1,16_1,16_1,16_1,Single_barline,16_1,16_1,16_1,16_1,16_1,16_1,Single_barline,16_1,16_1,16_1,16_1,16_1,16_1,Single_barline,16_1,16_1,16_1,16_1,16_1,16_1,Single_barline,,,,,
13,Single_barline,Gclef,Single_barline,Sharp,Single_barline,Single_barline,dot,dot,Single_barline,Flat,Sharp,dot,dot,dot,Single_barline,Sharp,Single_barline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Single_barline,Fclef,Single_barline,Sharp,Single_barline,Sharp,Single_barline,16_1,16_1,16_1,16_1,16_1,16_1,Single_barline,16_1,16_1,16_1,16_1,16_1,16_1,Single_barline,16_1,16_1,16_1,16_1,16_1,16_1,Single_barline,,,,,,,,,,,,,,,,,,,,,
15,Single_barline,Gclef,Single_barline,dot,dot,Single_barline,Flat,Flat,Single_barline,Flat,Single_barline,Sharp,Single_barline,Natural,Rests8,Single_barline,Rests8,Rests8,Single_barline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Single_barline,Fclef,16_1,16_1,16_1,16_1,16_1,16_1,Single_barline,Flat,16_2,16_2,16_2,16_2,16_2,16_2,Single_barline,Flat,16_2,16_2,16_2,16_2,16_2,16_2,Single_barline,Flat,16_2,16_2,16_2,16_2,16_2,16_2,Single_barline,Natural,16_2,16_2,16_2,16_2,16_2,16_2,Single_barline,4_3,Rests8,Single_barline,Sharp,Rests8,Rests8,Single_barline,
