1,Single_barline,Gclef,16_-4,16_-2,16_0,16_3,16_5,16_7,16_6,16_5,16_4,Single_barline,16_3,16_5,16_7,16_10,16_12,16_12,16_13,16_12,16_11,Single_barline,16_3,16_5,16_7,16_10,16_12,16_13,16_12,16_11,Single_barline,Flat,16_11,16_10,Sharp,16_9,Natural,16_9,Sharp,16_15,Natural,16_13,16_12,Sharp,16_13,Natural,16_13,Single_barline
2,Single_barline,Fclef,8_-4,Rests8,Single_barline,Rests8,Single_barline,Rests8,Single_barline,Rests8,Rests8,Single_barline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Single_barline,Gclef,Sharp,16_12,Natural,16_12,16_11,Flat,16_11,16_10,Sharp,16_9,Natural,16_9,Sharp,16_8,Natural,16_8,Single_barline,16_7,Sharp,16_6,16_7,16_4,Natural,16_6,16_5,Single_barline,8_3,Rests16,16_-2,16_0,16_3,Single_barline,8_4,Rests16,16_0,Sharp,16_2,16_4,Single_barline,8_5,Rests16,16_0,16_7,Sharp,16_6,Single_barline
4,Single_barline,Fclef,Rests1,Single_barline,Rests1,Single_barline,16_1,16_5,16_8,Rests16,Rests8,Single_barline,16_-2,16_5,Sharp,16_7,Rests16,Rests8,Single_barline,16_1,16_5,16_8,Rests16,Rests8,Single_barline,,,,,,,,,,,,,,,,,,,,,,,
5,Single_barline,Gclef,16_7,Sharp,16_6,16_7,16_4,Natural,16_6,16_5,Single_barline,8_3,Rests16,16_-2,16_0,16_3,Single_barline,8_4,Rests16,16_-1,16_4,Single_barline,8_3,Rests16,16_4,16_5,16_6,Single_barline,8_7,dot,16_2,16_8,16_7,Single_barline,8_6,dot,16_1,Single_barline,8_5,dot,16_0,16_6,16_5,Single_barline,,,,
6,Single_barline,Fclef,Rests1,Single_barline,16_1,16_5,16_8,Rests16,Rests8,Single_barline,16_-2,16_5,Sharp,16_7,Rests16,Rests8,Single_barline,16_1,Rests16,Rests8,Single_barline,16_3,16_7,16_10,Rests16,Rests8,Single_barline,16_0,16_7,16_9,Rests16,Rests8,Single_barline,16_1,16_5,16_8,Rests16,Rests8,Single_barline,,,,,,,,,
7,Single_barline,Gclef,8_4,Rests16,16_7,Rests16,Single_barline,Rests16,16_7,16_14,Rests16,Rests16,Sharp,16_6,Single_barline,8_7,Rests16,Sharp,16_6,16_7,16_6,Single_barline,16_7,Sharp,16_6,16_7,16_4,Natural,16_6,16_5,Single_barline,8_3,Rests16,16_-2,16_0,16_3,Single_barline,8_4,Rests16,16_0,Sharp,16_2,16_4,Single_barline,,,,
8,Single_barline,Fclef,Single_barline,16_7,Sharp,16_7,Single_barline,Sharp,16_7,Rests8,Single_barline,Rests1,Fclef,Single_barline,Rests8,Single_barline,16_5,Sharp,16_7,Rests8,Single_barline,16_-2,16_5,16_12,Rests16,Rests16,Gclef,16_0,Rests16,Rests16,16_6,Rests16,Rests16,16_6,Rests16,16_1,16_5,16_8,Rests16,16_-2,Rests16,,,,,,,
11,Single_barline,Gclef,8_5,Rests16,16_0,16_7,Sharp,16_6,Single_barline,16_7,Sharp,16_6,16_7,16_4,Natural,16_6,16_5,Single_barline,8_3,Rests16,16_-2,16_0,16_3,Single_barline,8_4,Rests16,16_-1,16_5,16_4,Single_barline,8_3,Rests8,Rests8,Final_barline,,,,,,,,,,,,,,
12,Single_barline,Fclef,16_1,16_5,16_8,Rests16,Rests8,Single_barline,Rests1,Single_barline,16_1,16_5,16_8,Rests16,Rests8,Single_barline,16_-2,16_5,Sharp,16_7,Rests16,Rests8,Single_barline,Rests8,Rests8,Final_barline,,,,,,,,,,,,,,,,,,,,,,
